Date,Description,Amount,Transaction Type,Category,Account Name,Month,Month_Name,Year
2018-01-12,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,1,January,2018
2018-01-19,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,1,January,2018
2018-02-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2,February,2018
2018-02-16,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2,February,2018
2018-03-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,3,March,2018
2018-03-16,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,3,March,2018
2018-03-30,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,3,March,2018
2018-04-13,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,4,April,2018
2018-04-27,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,4,April,2018
2018-05-11,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,5,May,2018
2018-05-25,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,5,May,2018
2018-06-08,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,6,June,2018
2018-06-22,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,6,June,2018
2018-07-06,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,7,July,2018
2018-07-20,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,7,July,2018
2018-08-03,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,8,August,2018
2018-08-17,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,8,August,2018
2018-08-31,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,8,August,2018
2018-09-14,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,9,September,2018
2018-09-28,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,9,September,2018
2018-10-12,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,10,October,2018
2018-10-26,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,10,October,2018
2018-11-09,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,11,November,2018
2018-11-23,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,11,November,2018
2018-12-07,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,12,December,2018
2018-12-21,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,12,December,2018
2019-01-04,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,1,January,2019
2019-01-18,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,1,January,2019
2019-02-01,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2,February,2019
2019-02-15,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2,February,2019
2019-03-01,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,3,March,2019
2019-03-15,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,3,March,2019
2019-03-29,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,3,March,2019
2019-04-12,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,4,April,2019
2019-04-26,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,4,April,2019
2019-05-10,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,5,May,2019
2019-05-24,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,5,May,2019
2019-06-07,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,6,June,2019
2019-06-21,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,6,June,2019
2019-07-05,Biweekly Paycheck,2250.0,credit,Paycheck,Checking,7,July,2019
2019-07-19,Biweekly Paycheck,2250.0,credit,Paycheck,Checking,7,July,2019
2019-08-02,Biweekly Paycheck,2250.0,credit,Paycheck,Checking,8,August,2019
2019-08-16,Biweekly Paycheck,2250.0,credit,Paycheck,Checking,8,August,2019
2019-08-30,Biweekly Paycheck,2250.0,credit,Paycheck,Checking,8,August,2019
2019-09-13,Biweekly Paycheck,2250.0,credit,Paycheck,Checking,9,September,2019
2019-09-27,Biweekly Paycheck,2250.0,credit,Paycheck,Checking,9,September,2019
